startDate,sellerMetric.value,platformMetric.value
2023-05-16,25135.0,603014.0
2023-05-17,31495.0,495286.0
2023-05-18,16655.0,466955.0
2023-05-19,20956.0,421737.6
2023-05-20,8419.0,356429.0
2023-05-21,6360.0,619640.36
2023-05-22,17248.22,583873.22
2023-05-23,0.0,671011.56
2023-05-24,11639.0,608081.0
2023-05-25,11639.0,546202.0
2023-05-26,2288.0,505383.4
2023-05-27,4573.0,471837.0
2023-05-28,2285.0,572665.0
2023-05-29,9354.0,638176.56
2023-05-30,7283.0,577173.0
2023-05-31,11645.0,551288.0
2023-06-01,7472.0,510611.0
2023-06-02,6726.0,548747.0
2023-06-03,15800.0,416491.0
2023-06-04,15938.0,511019.0
2023-06-05,22661.0,622089.73
2023-06-06,11365.0,617906.37
2023-06-07,27039.0,649386.0
2023-06-08,15737.0,556058.0
2023-06-09,18088.0,543782.0
2023-06-10,29255.0,482944.0
2023-06-11,22529.0,561561.0
2023-06-12,24814.0,566806.0
2023-06-13,27381.0,757599.0
2023-06-14,30925.0,684013.0
2023-06-15,24394.0,703818.0
2023-06-16,22178.0,635111.01
2023-06-17,22160.0,689838.82
2023-06-18,13299.0,725072.87
2023-06-19,33255.0,733609.0
2023-06-20,35459.0,661783.0
2023-06-21,0.0,625746.0
2023-06-22,2216.0,513435.25
2023-06-23,0.0,480083.0
2023-06-24,2285.0,313510.0
2023-06-25,0.0,663602.31
2023-06-26,0.0,669220.0
2023-06-27,0.0,661032.0
2023-06-28,0.0,618691.77
2023-06-29,0.0,661308.0
2023-06-30,2609.0,553179.0
2023-07-01,0.0,432357.0
2023-07-02,0.0,636312.0
2023-07-03,0.0,671174.0
2023-07-04,0.0,669119.0
2023-07-05,0.0,558206.0
2023-07-06,0.0,544568.0
2023-07-07,2609.0,467968.0
2023-07-08,2609.0,435108.0
2023-07-09,0.0,536878.0
2023-07-10,0.0,568049.0
2023-07-11,0.0,542666.0
2023-07-12,0.0,513665.0
2023-07-13,0.0,461437.0
2023-07-14,0.0,403173.0
2023-07-15,0.0,419178.25
2023-07-16,0.0,536629.0
2023-07-17,2609.0,484877.0
2023-07-18,12474.0,567440.0
2023-07-19,12474.0,443524.0
2023-07-20,16143.0,408713.0
2023-07-21,18711.0,420475.0
2023-07-22,15613.0,361441.0
2023-07-23,13004.0,485027.0
2023-07-24,14553.0,443644.0
2023-07-25,19241.0,513188.0
2023-07-26,8846.0,393067.0
2023-07-27,12366.0,402316.0
2023-07-28,11985.0,368151.0
2023-07-29,10925.0,349907.0
2023-07-30,23689.0,434942.0
2023-07-31,19771.0,513788.0
2023-08-01,2478.0,552818.14
2023-08-02,17346.0,575224.0
2023-08-03,14868.0,489230.0
2023-08-04,7434.0,533846.0
2023-08-05,4956.0,394686.0
2023-08-06,4956.0,381301.0
2023-08-07,12390.0,385323.48
2023-08-08,7434.0,434802.0
2023-08-09,10043.0,332322.0
2023-08-10,15130.0,392557.0
2023-08-11,4956.0,305210.0
2023-08-12,12345.0,235569.0
2023-08-13,4956.0,261093.0
2023-08-14,17739.0,297051.0
2023-08-15,11595.0,335024.0
2023-08-16,20871.0,303466.0
2023-08-17,9276.0,286899.0
2023-08-18,4638.0,214639.0
2023-08-19,2319.0,199424.0
2023-08-20,2319.0,206505.0
2023-08-21,13740.0,259561.0
2023-08-22,6957.0,175777.0
2023-08-23,11421.0,157520.0
2023-08-24,20689.0,170184.35
2023-08-25,18378.0,164602.0
2023-08-26,4638.0,111431.0
2023-08-27,13914.0,145356.0
2023-08-28,18552.0,162486.0
2023-08-29,16347.0,142756.0
2023-08-30,11391.0,136968.0
2023-08-31,16680.0,108189.09
2023-09-01,19512.0,107586.0
2023-09-02,17013.0,110682.0
2023-09-03,13869.0,118777.0
2023-09-04,14556.0,127609.0
2023-09-05,12299.0,133096.0
2023-09-06,19491.0,146128.0
2023-09-07,17034.0,150818.0
2023-09-08,17034.0,84357.0
2023-09-09,14556.0,63272.0
2023-09-10,12411.0,107037.0
2023-09-11,7476.0,114052.0
2023-09-12,4956.0,99680.0
2023-09-13,7434.0,108656.0
2023-09-14,14232.0,93936.0
2023-09-15,9594.0,83749.0
2023-09-16,9435.0,83181.0
2023-09-17,9594.0,74395.0
2023-09-18,4638.0,117201.0
2023-09-19,9276.0,118778.0
2023-09-20,4638.0,84138.0
2023-09-21,11754.0,106700.0
2023-09-22,6957.0,89289.0
2023-09-23,7116.0,77477.0
2023-09-24,9594.0,60375.0
2023-09-25,7116.0,81563.0
2023-09-26,11913.0,80544.0
2023-09-27,11595.0,96912.73
2023-09-28,4638.0,96367.0
2023-09-29,4638.0,67125.0
2023-09-30,4797.0,46234.0
2023-10-01,7320.0,42664.0
2023-10-02,2341.0,45825.0
2023-10-03,14212.0,78141.0
2023-10-04,2341.0,56071.0
2023-10-05,9447.0,77411.0
2023-10-06,6891.0,41980.0
2023-10-07,0.0,36704.0
2023-10-08,0.0,49286.0
2023-10-09,0.0,56211.0
2023-10-10,9232.0,68882.0
2023-10-11,2275.0,65275.0
2023-10-12,0.0,17969.0
2023-10-13,0.0,35800.0
2023-10-14,4550.0,42295.0
2023-10-15,0.0,23656.0
2023-10-16,9232.0,82904.0
2023-10-17,4616.0,82162.0
2023-10-18,2403.0,61670.0
2023-10-19,0.0,37792.0
2023-10-20,2530.0,53859.0
